date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:33	127/127	---MCZ	200	added ('OK')	text/plain	date:Mon,%2013%20May%202024%2005:56:36%20GMT	https://eduquest.itech-theme.com/robots.txt		(from )
11:26:33	179749/179749	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2005:56:36%20GMT	https://eduquest.itech-theme.com/home-5/	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/home-5/index.html	(from )
11:26:34	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%2265deceba-4824%22	https://eduquest.itech-theme.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.19.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/elementor/assets/lib/animations/animations.mince54.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:34	38351/38351	---MCZ	200	added ('OK')	text/css	etag:W/%2265faacd9-95cf%22	https://eduquest.itech-theme.com/wp-content/uploads/thepackprowidget.css?ver=6.5.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/uploads/thepackprowidgetef10.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:34	14591/14591	---MCZ	200	added ('OK')	text/css	etag:W/%2264fff157-38ff%22	https://eduquest.itech-theme.com/wp-content/plugins/tutor/assets/css/tutor-icon.min.css?ver=2.2.4	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/tutor/assets/css/tutor-icon.minac31.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:35	274564/274564	---MCZ	200	added ('OK')	text/css	etag:W/%2264fff157-43084%22	https://eduquest.itech-theme.com/wp-content/plugins/tutor/assets/css/tutor.min.css?ver=2.2.4	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/tutor/assets/css/tutor.minac31.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:35	122757/122757	---MCZ	200	added ('OK')	text/css	etag:W/%2264fff157-1df85%22	https://eduquest.itech-theme.com/wp-content/plugins/tutor/assets/css/tutor-front.min.css?ver=2.2.4	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/tutor/assets/css/tutor-front.minac31.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:36	76806/76806	---MCZ	200	added ('OK')	text/css	etag:W/%2266408ab1-12c06%22	https://eduquest.itech-theme.com/wp-content/uploads/thepackwidget.css?ver=2.0.8.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/uploads/thepackwidget8b7b.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:36	48270/48270	---MCZ	200	added ('OK')	text/css	etag:W/%2265364346-bc8e%22	https://eduquest.itech-theme.com/wp-content/themes/eduquest/assets/css/default.css?ver=6.5.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/themes/eduquest/assets/css/defaultef10.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:37	395/395	---MCZ	200	added ('OK')	text/css	etag:W/%2265364346-18b%22	https://eduquest.itech-theme.com/wp-content/themes/eduquest/style.css?ver=6.5.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/themes/eduquest/styleef10.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:37	59016/59016	---MCZ	200	added ('OK')	text/css	etag:W/%2264a55d65-e688%22	https://eduquest.itech-theme.com/wp-includes/css/dashicons.min.css?ver=6.5.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-includes/css/dashicons.minef10.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:37	19778/19778	---MCZ	200	added ('OK')	text/css	etag:W/%2265deceba-4d42%22	https://eduquest.itech-theme.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:37	118785/118785	---MCZ	200	added ('OK')	text/css	etag:W/%2265f18dca-1d001%22	https://eduquest.itech-theme.com/wp-content/uploads/elementor/css/custom-frontend-lite.min.css?ver=1710329290	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/uploads/elementor/css/custom-frontend-lite.min9738.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:38	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2265deceba-4057%22	https://eduquest.itech-theme.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:38	1521/1521	---MCZ	200	added ('OK')	text/css	etag:W/%2265f18dcb-5f1%22	https://eduquest.itech-theme.com/wp-content/uploads/elementor/css/post-5.css?ver=1710329291	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/uploads/elementor/css/post-58d2e.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:38	193511/193511	---MCZ	200	added ('OK')	text/css	etag:W/%226552f28e-2f3e7%22	https://eduquest.itech-theme.com/wp-content/plugins/eduquest-addon/assets/css/bootstrap.min.css?ver=6.5.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/eduquest-addon/assets/css/bootstrap.minef10.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:39	203208/203208	---MCZ	200	added ('OK')	text/css	etag:W/%226552f28e-319c8%22	https://eduquest.itech-theme.com/wp-content/plugins/eduquest-addon/assets/css/master.css?ver=6.5.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/eduquest-addon/assets/css/masteref10.css	(from https://eduquest.itech-theme.com/home-5/)
11:26:39	2621/2621	---MCZ	200	added ('OK')	text/css	etag:W/%226552f28e-a3d%22	https://eduquest.itech-theme.com/wp-content/plugins/eduquest-addon/assets/css/meanmenu.min.css?ver=6.5.3	D:/HTTrack%20Website/Job%20Platform/eduquest.itech-theme.com/wp-content/plugins/eduquest-addon/assets/css/meanmenu.minef10.css	(from https://eduquest.itech-theme.com/home-5/)
